time,value
0.05,1010
0.1,979
0.15,1007
0.2,1003
0.25,1044
0.3,1015
0.35,986
0.4,991
0.45,1047
0.5,963
0.55,986
0.6,983
0.65,1006
0.7,1011
0.75,1015
0.8,1006
0.85,993
0.9,1036
0.95,961
1.0,1040
1.05,1022
1.1,1018
1.15,955
1.2,1034
1.25,1033
1.3,1014
1.35,1033
1.4,1018
1.45,1065
1.5,998
1.55,999
1.6,988
1.65,993
1.7,982
1.75,1017
1.8,994
1.85,943
1.9,1009
1.95,1027
2.0,1001
2.05,1022
2.1,1001
2.15,1002
2.2,1043
2.25,964
2.3,990
2.35,1000
2.4,972
2.45,973
2.5,1051
2.55,1023
2.6,1016
2.65,1000
2.7,1017
2.75,1022
2.8,959
2.85,989
2.9,1006
2.95,999
3.0,1049
3.05,955
3.1,1038
3.15,998
3.2,1054
3.25,1045
3.3,981
3.35,1016
3.4,987
3.45,996
3.5,1004
3.55,1005
3.6,990
3.65,1003
3.7,979
3.75,1037
3.8,993
3.85,1009
3.9,1064
3.95,959
4.0,985
4.05,991
4.1,955
4.15,984
4.2,992
4.25,987
4.3,1053
4.35,1022
4.4,1044
4.45,965
4.5,994
4.55,993
4.6,964
4.65,1051
4.7,1008
4.75,969
4.8,986
4.85,995
4.9,1035
4.95,1023
5.0,940
5.05,1028
5.1,1026
5.15,1008
5.2,1040
5.25,968
5.3,1014
5.35,993
5.4,1026
5.45,993
5.5,984
5.55,1017
5.6,1060
5.65,950
5.7,1043
5.75,989
5.8,1015
5.85,955
5.9,1024
5.95,1006
6.0,1016
6.05,1041
6.1,979
6.15,956
6.2,1049
6.25,966
6.3,1044
6.35,1069
6.4,1017
6.45,987
6.5,1076
6.55,982
6.6,1045
6.65,977
6.7,1003
6.75,985
6.8,1043
6.85,982
6.9,1019
6.95,1019
7.0,990
7.05,973
7.1,1014
7.15,1034
7.2,1024
7.25,1010
7.3,982
7.35,948
7.4,1049
7.45,1049
7.5,1036
7.55,1053
7.6,956
7.65,1038
7.7,1041
7.75,1032
7.8,973
7.85,983
7.9,965
7.95,972
8.0,972
8.05,984
8.1,1018
8.15,963
8.2,989
8.25,1003
8.3,984
8.35,984
8.4,968
8.45,1034
8.5,994
8.55,1018
8.6,981
8.65,1015
8.7,1026
8.75,998
8.8,968
8.85,920
8.9,1015
8.95,978
9.0,961
9.05,1048
9.1,1036
9.15,994
9.2,967
9.25,955
9.3,1041
9.35,991
9.4,1014
9.45,1014
9.5,964
9.55,1013
9.6,1004
9.65,964
9.7,959
9.75,1035
9.8,1021
9.85,1069
9.9,962
9.95,1004
10.0,1027
10.05,1054
10.1,1039
10.15,1021
10.2,991
10.25,985
10.3,973
10.35,998
10.4,985
10.45,993
10.5,1041
10.55,969
10.6,991
10.65,972
10.7,989
10.75,997
10.8,986
10.85,980
10.9,1035
10.95,992
11.0,998
11.05,965
11.1,1041
11.15,987
11.2,993
11.25,986
11.3,971
11.35,980
11.4,1016
11.45,1022
11.5,1050
11.55,1004
11.6,1002
11.65,963
11.7,982
11.75,1018
11.8,1013
11.85,1026
11.9,982
11.95,978
12.0,1026
12.05,1018
12.1,1008
12.15,1013
12.2,1021
12.25,1007
12.3,969
12.35,930
12.4,991
12.45,997
12.5,995
12.55,1006
12.6,1026
12.65,996
12.7,1002
12.75,1015
12.8,976
12.85,1037
12.9,1029
12.95,995
13.0,980
13.05,1040
13.1,1046
13.15,991
13.2,1022
