time,value
0.05,1028
0.1,1097
0.15,1134
0.2,1044
0.25,1073
0.3,1051
0.35,1059
0.4,1066
0.45,1115
0.5,1078
0.55,1044
0.6,1098
0.65,1044
0.7,1082
0.75,1068
0.8,1067
0.85,1072
0.9,1056
0.95,1119
1.0,1112
1.05,1113
1.1,1074
1.15,1059
1.2,1078
1.25,1035
1.3,1118
1.35,1117
1.4,1080
1.45,1114
1.5,1151
1.55,1087
1.6,1024
1.65,1080
1.7,1079
1.75,1095
1.8,1096
1.85,1058
1.9,1049
1.95,1060
2.0,1050
2.05,1080
2.1,1086
2.15,1065
2.2,1067
2.25,1063
2.3,1110
2.35,1119
2.4,1045
2.45,1075
2.5,1080
2.55,1052
2.6,1054
2.65,1095
2.7,1067
2.75,1118
2.8,1113
2.85,1068
2.9,1043
2.95,1078
3.0,1061
3.05,1091
3.1,1096
3.15,1059
3.2,1156
3.25,1112
3.3,1090
3.35,1090
3.4,1104
3.45,1050
3.5,1082
3.55,1001
3.6,1105
3.65,1024
3.7,1060
3.75,1035
3.8,1024
3.85,1062
3.9,1067
3.95,1061
4.0,1191
4.05,1086
4.1,1094
4.15,1107
4.2,1116
4.25,1064
4.3,1094
4.35,1104
4.4,1076
4.45,1054
4.5,1074
4.55,1075
4.6,1070
4.65,1184
4.7,1116
4.75,1084
4.8,1109
4.85,1091
4.9,1072
4.95,1053
5.0,1058
5.05,1053
5.1,1109
5.15,1160
5.2,1090
5.25,1080
5.3,1060
5.35,1041
5.4,1033
5.45,1064
5.5,1094
5.55,1045
5.6,1087
5.65,1052
5.7,1091
5.75,1039
5.8,1068
5.85,1098
5.9,1087
5.95,1120
6.0,1096
6.05,1090
6.1,1071
6.15,1070
6.2,1076
6.25,1045
6.3,1094
6.35,1079
6.4,1107
6.45,1079
6.5,1058
6.55,1046
6.6,1005
6.65,993
6.7,1056
6.75,1098
6.8,1096
6.85,1056
6.9,1038
6.95,1002
7.0,1011
7.05,989
7.1,1018
7.15,968
7.2,1051
7.25,1075
7.3,1069
7.35,1067
7.4,1083
7.45,1073
7.5,1089
7.55,1034
7.6,1070
7.65,1097
7.7,1102
7.75,1107
7.8,1045
7.85,1038
7.9,1095
7.95,1082
8.0,1069
8.05,1006
8.1,1031
8.15,1080
8.2,1023
8.25,1064
8.3,1066
8.35,1033
8.4,1077
8.45,1038
8.5,1045
8.55,1072
8.6,985
8.65,1056
8.7,1064
8.75,1056
8.8,1062
8.85,1100
8.9,1051
8.95,1020
9.0,1096
9.05,1052
9.1,1048
9.15,1026
9.2,1052
9.25,1018
9.3,1080
9.35,1090
9.4,1089
9.45,1180
9.5,1093
9.55,1050
9.6,1058
9.65,1090
9.7,1104
9.75,1013
9.8,1092
9.85,1108
9.9,1094
9.95,1027
10.0,1132
10.05,1065
10.1,1029
10.15,1083
10.2,1031
10.25,1112
10.3,1053
10.35,1081
10.4,1078
10.45,1094
10.5,1087
10.55,1073
10.6,1014
10.65,993
10.7,1090
10.75,1098
10.8,1111
10.85,1120
10.9,1034
10.95,1002
11.0,1016
11.05,1038
11.1,1067
11.15,1042
11.2,1036
11.25,1026
11.3,1023
11.35,1056
11.4,1080
11.45,1070
11.5,1033
11.55,1042
11.6,1090
11.65,1070
11.7,1065
11.75,1048
11.8,1051
11.85,1049
11.9,1017
11.95,1029
12.0,1038
12.05,982
12.1,979
12.15,1104
12.2,1123
12.25,1024
12.3,1065
12.35,1030
12.4,1087
12.45,1116
12.5,1089
12.55,1080
12.6,1039
12.65,1098
12.7,1044
12.75,1018
12.8,1065
12.85,1055
12.9,1124
12.95,1048
13.0,1078
13.05,1088
13.1,1101
13.15,1055
13.2,1084
13.25,1041
13.3,1057
13.35,1069
13.4,1037
13.45,1057
13.5,1051
13.55,1122
13.6,1084
13.65,1058
13.7,998
13.75,1018
13.8,1036
13.85,1100
13.9,1030
13.95,1049
14.0,1048
14.05,1026
14.1,1037
14.15,977
14.2,1044
14.25,1029
14.3,1047
14.35,1075
14.4,1101
14.45,1059
14.5,1009
14.55,1103
14.6,1072
14.65,1042
14.7,1066
14.75,987
14.8,1072
14.85,1027
14.9,1020
14.95,1074
15.0,1041
15.05,1106
15.1,974
15.15,1032
15.2,1103
15.25,1103
15.3,1073
15.35,1133
15.4,1060
15.45,1153
15.5,1011
15.55,1107
15.6,1053
15.65,1020
15.7,1068
15.75,1107
15.8,1045
15.85,1027
15.9,1061
15.95,1088
16.0,1027
16.05,1081
16.1,1028
16.15,1017
16.2,1018
16.25,1022
16.3,1056
16.35,1085
16.4,1010
16.45,1018
16.5,978
16.55,1051
16.6,1019
16.65,1102
16.7,1080
16.75,1064
16.8,1060
16.85,1022
16.9,1020
16.95,1045
17.0,1031
17.05,1060
17.1,1056
17.15,1050
17.2,1054
17.25,990
17.3,1039
17.35,1075
17.4,1069
17.45,1068
17.5,1030
17.55,1057
17.6,1023
17.65,1086
17.7,1073
17.75,1055
17.8,1080
17.85,1044
17.9,1053
17.95,1011
18.0,1044
18.05,1017
18.1,1098
18.15,1032
