time,value
0.05,946
0.1,960
0.15,945
0.2,950
0.25,964
0.3,978
0.35,915
0.4,849
0.45,1001
0.5,926
0.55,926
0.6,925
0.65,1007
0.7,917
0.75,954
0.8,962
0.85,979
0.9,917
0.95,961
1.0,980
1.05,943
1.1,994
1.15,956
1.2,967
1.25,974
1.3,957
1.35,967
1.4,930
1.45,911
1.5,968
1.55,889
1.6,956
1.65,951
1.7,935
1.75,946
1.8,1001
1.85,918
1.9,989
1.95,925
2.0,943
2.05,926
2.1,1017
2.15,944
2.2,967
2.25,1032
2.3,950
2.35,1005
2.4,991
2.45,992
2.5,953
2.55,1040
2.6,924
2.65,942
2.7,986
2.75,969
2.8,957
2.85,942
2.9,941
2.95,969
3.0,944
3.05,954
3.1,984
3.15,906
3.2,941
3.25,906
3.3,948
3.35,890
3.4,967
3.45,973
3.5,932
3.55,934
3.6,903
3.65,945
3.7,974
3.75,971
3.8,927
3.85,992
3.9,921
3.95,921
4.0,936
4.05,964
4.1,976
4.15,965
4.2,959
4.25,1024
4.3,922
4.35,900
4.4,977
4.45,928
4.5,990
4.55,917
4.6,932
4.65,900
4.7,943
4.75,968
4.8,948
4.85,902
4.9,955
4.95,912
5.0,937
5.05,964
5.1,983
5.15,981
5.2,970
5.25,917
5.3,971
5.35,971
5.4,931
5.45,867
5.5,903
5.55,867
5.6,930
5.65,919
5.7,987
5.75,951
5.8,924
5.85,939
5.9,918
5.95,989
6.0,921
6.05,972
6.1,929
6.15,899
6.2,855
6.25,978
6.3,959
6.35,964
6.4,937
6.45,978
6.5,935
6.55,946
6.6,929
6.65,960
6.7,981
6.75,931
6.8,984
6.85,992
6.9,982
6.95,955
7.0,984
7.05,975
7.1,965
7.15,923
7.2,976
7.25,981
7.3,940
7.35,949
7.4,932
7.45,893
7.5,987
7.55,994
7.6,992
7.65,954
7.7,952
7.75,877
7.8,974
7.85,994
7.9,1010
7.95,931
8.0,987
8.05,966
8.1,958
8.15,982
8.2,964
8.25,962
8.3,960
8.35,980
8.4,927
8.45,950
8.5,942
8.55,979
8.6,954
8.65,974
8.7,915
8.75,959
8.8,920
8.85,922
8.9,988
8.95,864
9.0,967
9.05,908
9.1,949
9.15,919
9.2,965
9.25,966
9.3,940
9.35,926
9.4,902
9.45,1002
9.5,946
9.55,869
9.6,948
9.65,922
9.7,928
9.75,909
9.8,927
9.85,919
9.9,951
9.95,914
10.0,982
10.05,891
10.1,926
10.15,949
10.2,948
10.25,916
10.3,935
10.35,915
10.4,859
10.45,933
10.5,904
10.55,882
10.6,927
10.65,946
10.7,934
10.75,903
10.8,927
10.85,897
10.9,955
10.95,924
11.0,979
11.05,850
11.1,930
11.15,934
11.2,869
11.25,981
11.3,978
11.35,935
11.4,904
11.45,917
11.5,935
11.55,885
11.6,991
11.65,934
11.7,952
11.75,953
11.8,952
11.85,922
11.9,969
11.95,940
12.0,958
12.05,925
12.1,924
12.15,934
12.2,927
12.25,884
12.3,906
12.35,918
12.4,915
12.45,966
12.5,923
12.55,906
12.6,913
12.65,907
12.7,903
12.75,944
12.8,939
12.85,904
12.9,956
12.95,914
13.0,927
13.05,894
13.1,976
13.15,915
13.2,914
13.25,912
13.3,929
13.35,912
13.4,880
13.45,890
13.5,978
13.55,912
13.6,958
13.65,924
13.7,922
13.75,936
13.8,943
13.85,935
13.9,935
13.95,858
14.0,944
14.05,888
14.1,924
14.15,862
14.2,886
14.25,888
14.3,886
14.35,923
14.4,856
14.45,909
14.5,866
14.55,921
14.6,827
14.65,889
14.7,891
14.75,898
14.8,947
14.85,906
14.9,908
14.95,948
15.0,883
15.05,875
15.1,899
15.15,881
15.2,891
15.25,843
15.3,914
15.35,911
15.4,902
15.45,928
15.5,918
15.55,889
15.6,997
15.65,932
15.7,904
15.75,875
15.8,872
15.85,906
15.9,895
15.95,890
16.0,892
16.05,915
16.1,879
16.15,874
16.2,972
16.25,872
16.3,902
16.35,928
16.4,872
16.45,885
16.5,944
16.55,973
16.6,909
16.65,923
16.7,889
16.75,914
16.8,961
16.85,892
16.9,862
16.95,928
17.0,937
17.05,897
17.1,859
17.15,915
17.2,923
17.25,938
17.3,894
17.35,861
17.4,899
17.45,933
17.5,890
17.55,941
17.6,878
17.65,938
17.7,910
17.75,942
17.8,926
17.85,895
17.9,897
17.95,889
18.0,914
18.05,955
18.1,895
18.15,859
18.2,956
18.25,912
18.3,901
18.35,906
18.4,886
18.45,907
18.5,943
18.55,928
18.6,899
18.65,849
18.7,891
18.75,909
18.8,896
18.85,877
18.9,916
18.95,959
19.0,969
19.05,912
19.1,930
19.15,857
19.2,881
19.25,908
19.3,887
19.35,893
19.4,840
19.45,947
19.5,951
19.55,880
19.6,875
19.65,927
19.7,900
19.75,902
19.8,881
19.85,857
19.9,899
19.95,939
20.0,885
20.05,909
20.1,901
20.15,849
20.2,898
20.25,877
20.3,889
20.35,921
20.4,908
20.45,870
20.5,898
20.55,826
20.6,897
20.65,849
20.7,861
20.75,848
20.8,878
20.85,909
20.9,908
20.95,840
21.0,806
21.05,926
21.1,868
21.15,915
21.2,918
21.25,924
21.3,862
21.35,833
21.4,882
21.45,903
21.5,865
