time,value
0.05,822
0.1,804
0.15,828
0.2,765
0.25,801
0.3,832
0.35,830
0.4,805
0.45,799
0.5,761
0.55,833
0.6,748
0.65,837
0.7,831
0.75,800
0.8,771
0.85,808
0.9,785
0.95,787
1.0,834
1.05,815
1.1,828
1.15,862
1.2,799
1.25,876
1.3,854
1.35,781
1.4,773
1.45,786
1.5,840
1.55,824
1.6,871
1.65,867
1.7,825
1.75,898
1.8,818
1.85,887
1.9,846
1.95,868
2.0,827
2.05,843
2.1,832
2.15,829
2.2,819
2.25,838
2.3,802
2.35,819
2.4,849
2.45,865
2.5,838
2.55,781
2.6,771
2.65,816
2.7,835
2.75,844
2.8,873
2.85,815
2.9,816
2.95,820
3.0,773
3.05,870
3.1,795
3.15,785
3.2,838
3.25,783
3.3,808
3.35,839
3.4,819
3.45,855
3.5,905
3.55,790
3.6,862
3.65,831
3.7,773
3.75,813
3.8,816
3.85,790
3.9,838
3.95,787
4.0,811
4.05,770
4.1,763
4.15,766
4.2,800
4.25,787
4.3,823
4.35,742
4.4,811
4.45,840
4.5,821
4.55,828
4.6,830
4.65,818
4.7,804
4.75,829
4.8,826
4.85,798
4.9,815
4.95,824
5.0,847
5.05,806
5.1,829
5.15,794
5.2,842
5.25,847
5.3,867
5.35,779
5.4,803
5.45,830
5.5,787
5.55,789
5.6,844
5.65,815
5.7,858
5.75,793
5.8,830
5.85,818
5.9,858
5.95,853
6.0,851
6.05,911
6.1,831
6.15,870
6.2,837
6.25,831
6.3,863
6.35,828
6.4,885
6.45,817
6.5,816
6.55,819
6.6,827
6.65,799
6.7,808
6.75,842
6.8,832
6.85,837
6.9,845
6.95,795
7.0,850
7.05,854
7.1,830
7.15,838
7.2,852
7.25,785
7.3,847
7.35,849
7.4,897
7.45,912
7.5,916
7.55,846
7.6,827
7.65,848
7.7,852
7.75,925
7.8,850
7.85,879
7.9,874
7.95,868
8.0,836
8.05,843
8.1,781
8.15,835
8.2,780
8.25,871
8.3,783
8.35,778
8.4,816
8.45,814
8.5,853
8.55,871
8.6,878
8.65,795
8.7,813
8.75,850
8.8,868
8.85,877
8.9,866
8.95,868
9.0,838
9.05,848
9.1,813
9.15,779
9.2,791
9.25,779
9.3,793
9.35,815
9.4,790
9.45,756
9.5,830
9.55,786
9.6,818
9.65,772
9.7,779
9.75,800
9.8,768
9.85,852
9.9,834
9.95,784
10.0,811
10.05,823
10.1,797
10.15,749
10.2,780
10.25,798
10.3,745
10.35,803
10.4,835
10.45,766
10.5,775
10.55,782
10.6,773
10.65,787
10.7,835
10.75,770
10.8,805
10.85,796
10.9,807
10.95,750
11.0,789
11.05,797
11.1,851
11.15,832
11.2,806
11.25,854
11.3,833
11.35,831
11.4,837
11.45,841
11.5,797
11.55,873
11.6,847
11.65,813
11.7,902
11.75,839
11.8,863
11.85,833
11.9,877
11.95,822
12.0,787
12.05,779
12.1,771
12.15,823
12.2,838
12.25,820
12.3,784
12.35,768
12.4,783
12.45,743
12.5,775
12.55,723
12.6,777
12.65,830
12.7,786
12.75,837
12.8,856
12.85,774
12.9,814
12.95,792
13.0,839
13.05,811
13.1,822
13.15,868
13.2,838
13.25,878
13.3,871
13.35,885
13.4,892
13.45,835
13.5,835
13.55,816
13.6,840
13.65,858
13.7,822
13.75,889
13.8,869
13.85,785
13.9,901
13.95,934
14.0,899
14.05,820
14.1,817
14.15,877
14.2,857
14.25,806
14.3,825
14.35,775
14.4,868
14.45,855
14.5,837
14.55,807
14.6,837
14.65,901
14.7,843
14.75,813
14.8,852
14.85,859
14.9,824
14.95,793
15.0,853
15.05,829
15.1,833
15.15,830
15.2,823
15.25,815
15.3,870
15.35,786
15.4,791
15.45,794
15.5,792
15.55,794
15.6,796
15.65,829
15.7,817
15.75,794
15.8,797
15.85,765
15.9,862
15.95,791
16.0,788
16.05,839
16.1,849
16.15,833
16.2,902
16.25,836
16.3,857
16.35,824
16.4,810
16.45,817
16.5,775
16.55,766
16.6,689
16.65,759
16.7,806
16.75,801
16.8,851
16.85,876
16.9,803
16.95,826
17.0,811
17.05,846
17.1,772
17.15,823
17.2,780
17.25,828
17.3,828
17.35,785
17.4,785
17.45,891
17.5,857
17.55,871
17.6,846
17.65,857
17.7,763
17.75,862
17.8,834
17.85,845
17.9,899
17.95,895
18.0,891
18.05,836
18.1,771
18.15,778
18.2,793
18.25,839
18.3,833
18.35,825
18.4,873
18.45,826
18.5,826
18.55,873
18.6,870
18.65,792
18.7,791
18.75,808
18.8,839
18.85,768
18.9,809
18.95,845
19.0,815
19.05,781
19.1,815
19.15,761
19.2,780
19.25,771
19.3,766
19.35,785
19.4,797
19.45,804
19.5,729
19.55,780
19.6,804
19.65,750
19.7,793
19.75,813
19.8,773
19.85,756
19.9,788
19.95,885
20.0,739
20.05,756
20.1,793
20.15,796
20.2,856
20.25,782
20.3,810
20.35,823
20.4,801
20.45,774
20.5,743
20.55,777
20.6,768
20.65,747
20.7,825
20.75,811
20.8,772
20.85,824
20.9,851
20.95,823
21.0,844
21.05,816
21.1,849
21.15,774
21.2,812
21.25,810
21.3,849
21.35,858
21.4,843
21.45,777
21.5,827
21.55,833
21.6,798
21.65,799
21.7,772
21.75,854
21.8,791
21.85,812
21.9,864
21.95,800
22.0,827
22.05,854
22.1,812
22.15,806
22.2,839
22.25,821
22.3,802
22.35,797
22.4,771
22.45,813
22.5,797
22.55,828
22.6,817
22.65,833
22.7,882
22.75,863
22.8,820
22.85,806
22.9,858
22.95,841
23.0,881
23.05,893
23.1,894
23.15,870
23.2,829
23.25,831
23.3,818
23.35,789
23.4,814
23.45,801
23.5,832
23.55,888
23.6,792
23.65,803
23.7,808
23.75,828
23.8,851
23.85,843
23.9,842
23.95,861
24.0,841
24.05,862
24.1,773
24.15,804
24.2,876
24.25,856
24.3,819
24.35,773
24.4,769
24.45,800
24.5,827
24.55,763
24.6,785
24.65,844
24.7,802
24.75,856
24.8,868
24.85,862
24.9,848
24.95,866
25.0,831
25.05,827
25.1,832
25.15,856
25.2,812
25.25,829
25.3,847
25.35,824
25.4,773
25.45,830
25.5,843
25.55,837
25.6,780
25.65,829
25.7,907
25.75,858
25.8,838
25.85,859
25.9,883
25.95,831
26.0,852
26.05,811
26.1,874
26.15,853
26.2,837
26.25,857
26.3,918
26.35,885
26.4,818
26.45,808
26.5,860
26.55,809
26.6,811
26.65,819
26.7,841
26.75,797
26.8,835
26.85,812
26.9,864
26.95,824
27.0,754
27.05,784
27.1,767
27.15,845
27.2,820
27.25,796
27.3,848
27.35,781
27.4,841
27.45,801
27.5,809
27.55,812
27.6,768
27.65,774
27.7,819
27.75,805
27.8,843
27.85,793
27.9,815
27.95,781
28.0,851
28.05,775
28.1,805
28.15,773
28.2,829
28.25,773
28.3,842
28.35,814
28.4,817
28.45,782
28.5,818
28.55,831
28.6,846
28.65,828
28.7,818
28.75,835
28.8,832
28.85,798
28.9,813
28.95,803
29.0,846
29.05,845
29.1,859
29.15,820
29.2,860
29.25,867
29.3,850
29.35,823
29.4,814
29.45,806
29.5,778
29.55,830
29.6,797
29.65,856
29.7,834
29.75,887
29.8,891
29.85,811
29.9,803
29.95,863
30.0,762
30.05,804
30.1,799
30.15,855
30.2,816
30.25,867
30.3,875
30.35,843
30.4,811
30.45,863
30.5,823
30.55,812
30.6,810
30.65,836
30.7,875
30.75,815
30.8,810
30.85,770
30.9,806
30.95,859
31.0,812
31.05,791
31.1,887
31.15,851
31.2,852
31.25,878
31.3,837
31.35,827
31.4,798
31.45,907
31.5,813
31.55,809
31.6,832
31.65,842
31.7,844
31.75,857
31.8,820
31.85,917
31.9,834
31.95,819
32.0,844
32.05,804
32.1,808
32.15,835
32.2,853
32.25,849
32.3,833
32.35,885
32.4,772
32.45,835
32.5,828
32.55,864
32.6,828
32.65,850
32.7,864
32.75,843
32.8,830
32.85,821
32.9,910
32.95,829
33.0,854
33.05,854
33.1,841
33.15,782
33.2,882
33.25,865
33.3,840
33.35,825
33.4,909
33.45,867
33.5,906
33.55,822
33.6,884
33.65,913
33.7,844
33.75,859
33.8,865
33.85,861
33.9,816
33.95,824
34.0,781
34.05,798
34.1,837
34.15,817
34.2,823
34.25,818
34.3,815
34.35,819
34.4,787
34.45,844
34.5,769
34.55,770
34.6,826
34.65,842
34.7,813
34.75,787
34.8,794
34.85,771
34.9,795
34.95,784
35.0,805
35.05,798
35.1,797
35.15,834
35.2,719
35.25,763
35.3,784
35.35,742
35.4,769
35.45,797
35.5,762
35.55,774
35.6,804
35.65,827
35.7,791
35.75,811
35.8,823
35.85,822
35.9,747
35.95,819
36.0,740
36.05,841
36.1,823
36.15,806
36.2,847
36.25,797
36.3,791
36.35,802
36.4,735
36.45,840
36.5,855
36.55,855
36.6,831
36.65,819
36.7,785
36.75,836
36.8,811
36.85,826
36.9,835
36.95,773
37.0,830
37.05,844
37.1,844
37.15,840
37.2,824
37.25,815
37.3,797
37.35,853
37.4,857
37.45,855
37.5,862
37.55,893
37.6,855
37.65,862
37.7,823
37.75,851
37.8,842
37.85,785
37.9,762
37.95,842
38.0,841
38.05,868
38.1,871
38.15,916
38.2,837
38.25,860
38.3,874
38.35,838
38.4,824
38.45,844
38.5,857
38.55,878
38.6,875
38.65,866
38.7,872
38.75,878
38.8,878
38.85,904
38.9,844
38.95,859
39.0,840
39.05,803
39.1,805
39.15,812
39.2,782
39.25,799
39.3,809
39.35,776
39.4,799
39.45,780
39.5,818
39.55,842
39.6,826
39.65,806
39.7,813
39.75,806
39.8,798
39.85,794
39.9,789
39.95,819
40.0,757
40.05,802
40.1,887
40.15,870
40.2,776
40.25,784
40.3,781
40.35,869
40.4,813
40.45,861
40.5,834
40.55,842
40.6,802
40.65,780
40.7,785
40.75,837
40.8,812
40.85,822
40.9,899
40.95,822
41.0,807
41.05,854
41.1,855
41.15,839
41.2,882
41.25,791
41.3,788
41.35,805
41.4,882
41.45,831
41.5,834
41.55,862
41.6,794
41.65,839
41.7,787
41.75,900
41.8,789
41.85,797
41.9,812
41.95,875
42.0,879
42.05,823
42.1,860
42.15,838
42.2,869
42.25,948
42.3,811
42.35,842
42.4,913
42.45,844
42.5,842
42.55,873
42.6,867
42.65,886
42.7,835
42.75,830
42.8,826
42.85,843
42.9,787
42.95,792
43.0,851
43.05,840
43.1,847
43.15,814
43.2,827
43.25,893
43.3,847
43.35,839
43.4,817
43.45,843
43.5,837
43.55,834
43.6,783
43.65,802
43.7,799
43.75,806
43.8,773
43.85,811
43.9,802
43.95,821
44.0,841
44.05,863
44.1,847
44.15,871
44.2,824
44.25,872
44.3,831
44.35,870
44.4,834
44.45,895
44.5,830
44.55,851
44.6,868
44.65,816
44.7,959
44.75,861
44.8,889
44.85,843
44.9,915
44.95,845
45.0,799
45.05,827
45.1,811
45.15,821
45.2,778
45.25,875
45.3,885
45.35,840
45.4,841
45.45,799
45.5,827
45.55,860
45.6,847
45.65,869
45.7,819
45.75,859
45.8,772
45.85,833
45.9,778
45.95,795
46.0,825
